תחום גאוגרפי,סוג דרך,יחידה משטרתית,חודש תאונה,שעה,סוג יום,יום/לילה ,יום בשבוע,חומרת התאונה,סוג תאונה,דרך חד מסלולית,דרך רב מסלולית,מהירות מותרת,תקינות הדרך,רוחב הכביש,סימון/תימרור,תאורה,מזג אוויר,מצב פני הכביש,אופן חצייה,מקום חציה,מחוז,סמל יישוב,רחוב 1,רחוב 2,סוג עצם,מרחק עצם,לא חצה
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב תא,מרץ,06:00-09:59,יום אחר,יום,ראשון,קלה,התנגשות חזית באחור,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הצפון,8600,505,205,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב השרון,מאי,20:00-23:59,יום אחר,לילה,ראשון,קשה,פגיעה בהולך רגל,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה בלי רמזור,חיפה,9700,135,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב השפלה,אוגוסט,14:00-16:59,יום אחר,יום,רביעי,קשה,התנגשות חזית באחור,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הצפון,8300,403,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,ספטמבר,10:00-13:59,יום אחר,יום,חמישי,קשה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הדרום,0,701,704,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מחוז ירושלים,דצמבר,17:00-19:59,יום אחר,יום,רביעי,קלה,התנגשות חזית באחור,חד סיטרי,לא ידוע,עד 50 קמש,כביש משובש,10.5 עד 14,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,התפרץ אל הכביש,במעבר חציה עם רמזור,תל אביב,3000,3004,1620,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,אוגוסט,20:00-23:59,יום אחר,לילה,ראשון,קלה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,יותר מ-14,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הצפון,0,109,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב השרון,ספטמבר,14:00-16:59,יום אחר,יום,ראשון,קשה,התנגשות חזית אל חזית,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,10.5 עד 14,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה עם רמזור,תל אביב,0,221,443,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,ספטמבר,06:00-09:59,יום אחר,יום,ראשון,קלה,התנגשות חזית אל צד,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,6200,304,454,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב תא,דצמבר,10:00-13:59,יום אחר,יום,שישי,קשה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,תל אביב,5000,335,336,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,אוקטובר,00:00-05:59,יום אחר,לילה,ראשון,קלה,התנגשות עם רכב שנעצר ללא חניה,אחר,מיפרדה עם גדר בטיחות,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,0,600,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב השרון,יולי,17:00-19:59,יום אחר,יום,ראשון,קטלנית,התנגשות חזית אל צד,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,לא במעבר חציה לא ליד צומת,הדרום,0,146,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב גליל,אפריל,10:00-13:59,יום אחר,יום,חמישי,קלה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,לא ידוע,לא ידוע,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,תל אביב,7600,2378,2216,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,יולי,17:00-19:59,יום אחר,יום,שני,קלה,פגיעה בהולך רגל,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,חיפה,6100,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב תא,דצמבר,00:00-05:59,יום אחר,לילה,שני,קשה,התנגשות עם עצם דומם,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,תל אביב,0,916,456,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב לכיש,נובמבר,10:00-13:59,יום אחר,יום,שני,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה בלי רמזור,ירושלים,70,1150,983,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב גליל,פברואר,14:00-16:59,יום אחר,יום,ראשון,קלה,התנגשות חזית אל צד,אחר,מיפרדה עם גדר בטיחות,עד 50 קמש,אין ליקוי,יותר מ-14,לא נדרש תמרור,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,המרכז,0,532,407,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב לכיש,אוקטובר,20:00-23:59,חול המועד,לילה,חמישי,קלה,התנגשות חזית אל צד,אחר,מיפרדה עם גדר בטיחות,עד 50 קמש,לא ידוע,7 עד 10.5,סימון לקוי/חסר,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,לא במעבר חציה לא ליד צומת,ירושלים,0,4128,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב גליל,ינואר,06:00-09:59,יום אחר,יום,שלישי,קלה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,תימרור לקוי/חסר,לילה לא ידוע,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,6000,136,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מחוז ירושלים,אפריל,06:00-09:59,יום אחר,יום,שבת,קלה,התנגשות חזית באחור,דו סיטרי+קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,גשום,יבש,התפרץ אל הכביש,לא במעבר חציה ליד צומת,ירושלים,3000,1714,1736,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב אילת,ינואר,06:00-09:59,יום אחר,יום,ראשון,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,10.5 עד 14,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,2600,327,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב השפלה,מאי,06:00-09:59,יום אחר,יום,חמישי,קטלנית,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,10.5 עד 14,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,תל אביב,2530,221,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב חוף (חיפה),דצמבר,10:00-13:59,יום אחר,יום,שני,קלה,התנגשות חזית אל חזית,דו סיטרי+קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה עם רמזור,תל אביב,0,502,906,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב תא,מאי,10:00-13:59,יום אחר,יום,שלישי,קשה,התנגשות אחור אל חזית,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,ירושלים,0,1714,1847,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב לכיש,מאי,17:00-19:59,יום אחר,לילה,רביעי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,ירושלים,0,1527,1508,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב תא,נובמבר,14:00-16:59,יום אחר,יום,רביעי,קלה,אחר,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,עד 5 מטר,אין ליקוי,אור יום רגיל,גשום,רטוב ממים,אחר,במעבר חציה בלי רמזור,המרכז,5000,1280,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב השרון,נובמבר,20:00-23:59,יום אחר,לילה,חמישי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה תאורה לא תקינה עם ראות מוגבלת,בהיר,יבש,חצה רגיל,לא במעבר חציה ליד צומת,המרכז,8700,202,216,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב גליל,מרץ,20:00-23:59,יום אחר,לילה,שבת,קשה,התנגשות חזית אל חזית,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,תל אביב,0,1620,1697,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מחוז ירושלים,נובמבר,14:00-16:59,יום אחר,יום,שני,קשה,פגיעה בנוסע בתוך כלי רכב,חד סיטרי,לא ידוע,120 קמש,אין ליקוי,יותר מ-14,אין ליקוי,לילה לא קיימת תאורה,בהיר,יבש,חצה רגיל,לא במעבר חציה לא ליד צומת,הצפון,3000,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מחוז ירושלים,אוקטובר,10:00-13:59,יום אחר,יום,שני,קלה,התנגשות חזית אל צד,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,10.5 עד 14,אין ליקוי,לילה לא ידוע,בהיר,יבש,התפרץ אל הכביש,לא במעבר חציה ליד צומת,תל אביב,3000,416,205,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב הנגב,מרץ,14:00-16:59,יום אחר,יום,חמישי,קלה,התנגשות חזית אל חזית,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,1082,374,387,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,יולי,14:00-16:59,יום אחר,יום,שבת,קלה,התנגשות חזית אל צד,אחר,אחר,עד 50 קמש,אין ליקוי,5 עד 7,לא נדרש תמרור,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,חיפה,0,1020,,9,9,9
יהודה והשומרון,לא עירוני לא בצומת,מרחב יהודה,יולי,00:00-05:59,יום אחר,לילה,שבת,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,לא ידוע,5 עד 7,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,לא במעבר חציה לא ליד צומת,יהודה ושומרון,0,,,9,9,9
יהודה והשומרון,לא עירוני לא בצומת,מרחב יהודה,מרץ,14:00-16:59,יום אחר,לילה,ראשון,קלה,התנגשות חזית אל חזית,דו סיטרי+קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,גשום,רטוב ממים,התפרץ אל הכביש,לא במעבר חציה ליד צומת,ירושלים,0,248,116,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב גליל,אפריל,17:00-19:59,יום אחר,יום,שלישי,קלה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,לא ידוע,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,1020,344,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב עמקים,אפריל,20:00-23:59,יום אחר,לילה,שבת,קשה,התנגשות חזית אל חזית,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הצפון,0,174,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,אוגוסט,17:00-19:59,יום אחר,לילה,שישי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,לא במעבר חציה לא ליד צומת,ירושלים,0,612,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב תא,יוני,06:00-09:59,יום אחר,יום,ראשון,קשה,התנגשות חזית באחור,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,יותר מ-14,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,חיפה,0,348,355,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב לכיש,מרץ,00:00-05:59,יום אחר,לילה,שני,קשה,התנגשות חזית באחור,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,10.5 עד 14,אין ליקוי,"ראות מוגבלת עקב מזג אויר (עשן,ערפל)",לא ידוע,יבש,התפרץ אל הכביש,לא במעבר חציה לא ליד צומת,ירושלים,0,4876,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב השפלה,מרץ,06:00-09:59,יום אחר,יום,ראשון,קלה,התנגשות צד בצד,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,5 עד 7,לא נדרש תמרור,לילה פעלה תאורה,בהיר,יבש,התפרץ אל הכביש,לא במעבר חציה ליד צומת,המרכז,8400,418,404,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב גליל,אוקטובר,10:00-13:59,יום אחר,יום,שישי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,תל אביב,7800,534,564,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מחוז ירושלים,אפריל,14:00-16:59,חול המועד,יום,חמישי,קשה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,תל אביב,0,510,553,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,אפריל,14:00-16:59,יום אחר,יום,חמישי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,70 קמש,אין ליקוי,לא ידוע,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,תל אביב,0,521,612,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב תא,דצמבר,10:00-13:59,יום אחר,יום,שני,קלה,התנגשות חזית באחור,אחר,מיפרדה בנויה ללא גדר בטיחות,70 קמש,אין ליקוי,יותר מ-14,לא ידוע,לילה תאורה תקינה עם ראות מוגבלת,גשום,רטוב ממים,חצה רגיל,במעבר חציה בלי רמזור,הדרום,5000,701,580,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב השרון,יוני,14:00-16:59,יום אחר,יום,רביעי,קשה,התנגשות חזית אל צד,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,חיפה,7900,161,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב תא,דצמבר,14:00-16:59,יום אחר,לילה,שלישי,קטלנית,החלקה,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,10.5 עד 14,אין ליקוי,יום לא ידוע,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,חיפה,5000,116,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב הנגב,ספטמבר,14:00-16:59,יום אחר,יום,חמישי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,עד 5 מטר,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,המרכז,666,207,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב גליל,פברואר,14:00-16:59,יום אחר,יום,שני,קלה,התנגשות צד בצד,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,עד 5 מטר,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,חיפה,0,643,917,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב השרון,יוני,06:00-09:59,יום אחר,לילה,שני,קטלנית,התנגשות חזית אל חזית,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,עד 5 מטר,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,חיפה,0,104,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מחוז ירושלים,יוני,10:00-13:59,יום אחר,יום,שישי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,חיפה,3000,798,638,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב גליל,יוני,20:00-23:59,יום אחר,לילה,חמישי,קשה,התנגשות אחור אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה בלי רמזור,המרכז,6800,123,283,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,פברואר,20:00-23:59,יום אחר,לילה,שני,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,עד 5 מטר,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,חיפה,5000,220,349,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב השרון,מרץ,20:00-23:59,יום אחר,לילה,חמישי,קלה,התנגשות חזית אל צד,אחר,אחר,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה בלי רמזור,חיפה,7400,140,184,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב השרון,יולי,14:00-16:59,יום אחר,יום,חמישי,קשה,פגיעה בהולך רגל,חד סיטרי,לא ידוע,לא ידוע,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה עם רמזור,ירושלים,7400,3001,3002,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב תא,דצמבר,00:00-05:59,יום אחר,לילה,ראשון,קלה,החלקה,חד סיטרי,לא ידוע,עד 50 קמש,לא ידוע,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,לא במעבר חציה ליד צומת,תל אביב,6100,503,501,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,ספטמבר,14:00-16:59,ערב חג,יום,ראשון,קשה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,חיפה,6100,793,,9,9,9
יהודה והשומרון,לא עירוני לא בצומת,מרחב שומרון,נובמבר,10:00-13:59,יום אחר,יום,ראשון,קלה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,90 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,גשום,רטוב ממים,חצה שהוא מוסתר,לא במעבר חציה ליד צומת,הדרום,0,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב גליל,יוני,06:00-09:59,יום אחר,יום,ראשון,קלה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,תל אביב,7600,102,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב עמקים,ינואר,20:00-23:59,יום אחר,לילה,שבת,קשה,התנגשות חזית אל חזית,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,אחר,במעבר חציה בלי רמזור,הדרום,0,377,386,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מחוז ירושלים,פברואר,17:00-19:59,יום אחר,לילה,שבת,קלה,התנגשות חזית אל חזית,אחר,מיפרדה בנויה ללא גדר בטיחות,80 קמש,לא ידוע,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה עם רמזור,יהודה ושומרון,3000,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,פברואר,10:00-13:59,יום אחר,יום,חמישי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,חצה שהוא מוסתר,לא במעבר חציה לא ליד צומת,המרכז,0,928,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב עמקים,יולי,06:00-09:59,יום אחר,יום,שבת,קלה,התנגשות חזית אל צד,דו סיטרי+קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,לא ידוע,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה עם רמזור,המרכז,47,212,118,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב השפלה,נובמבר,10:00-13:59,יום אחר,יום,ראשון,קלה,התנגשות צד בצד,לא ידוע מספר מסלולים,לא ידוע,לא ידוע,לא ידוע,לא ידוע,לא ידוע,יום לא ידוע,לא ידוע,לא ידוע,חצה רגיל,במעבר חציה בלי רמזור,תל אביב,8400,349,111,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב לכיש,פברואר,14:00-16:59,יום אחר,יום,חמישי,קלה,התנגשות חזית אל צד,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,לא ידוע,לילה פעלה תאורה,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הצפון,70,137,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב לכיש,יוני,14:00-16:59,יום אחר,יום,שלישי,קשה,פגיעה בהולך רגל,אחר,מיפרדה עם גדר בטיחות,60 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,במעבר חציה עם רמזור,הצפון,70,275,323,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,יולי,14:00-16:59,יום אחר,יום,ראשון,קלה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,חיפה,6600,526,537,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב תא,פברואר,17:00-19:59,יום אחר,יום,חמישי,קשה,פגיעה בהולך רגל,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הצפון,5000,105,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב השפלה,דצמבר,14:00-16:59,יום אחר,יום,שבת,קשה,החלקה,אחר,מיפרדה בנויה ללא גדר בטיחות,80 קמש,אין ליקוי,יותר מ-14,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,הצפון,0,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב לכיש,פברואר,14:00-16:59,יום אחר,יום,חמישי,קלה,התנגשות חזית אל צד,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,חצה רגיל,לא במעבר חציה לא ליד צומת,המרכז,1761,6001,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב עמקים,יוני,14:00-16:59,יום אחר,יום,שבת,קשה,התהפכות,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,לא ידוע,חצה רגיל,במעבר חציה בלי רמזור,הצפון,0,205,203,9,9,9
