תחום גאוגרפי,סוג דרך,יחידה משטרתית,חודש תאונה,שעה,סוג יום,יום/לילה ,יום בשבוע,חומרת התאונה,סוג תאונה,דרך חד מסלולית,דרך רב מסלולית,מהירות מותרת,תקינות הדרך,רוחב הכביש,סימון/תימרור,תאורה,מזג אוויר,מצב פני הכביש,אופן חצייה,מקום חציה,מחוז,סמל יישוב,רחוב 1,רחוב 2,סוג עצם,מרחק עצם,לא חצה
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב השפלה,יוני,10:00-13:59,יום אחר,יום,ראשון,קשה,התנגשות חזית אל צד,דו סיטרי+קו הפרדה רצוף,לא ידוע,80 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,יהודה ושומרון,8300,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב השרון,מאי,20:00-23:59,יום אחר,לילה,שבת,קלה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,לא ידוע,7 עד 10.5,תימרור לקוי/חסר,אור יום רגיל,בהיר,יבש,התפרץ אל הכביש,לא במעבר חציה לא ליד צומת,ירושלים,0,201,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מרחב גליל,יוני,06:00-09:59,יום אחר,יום,רביעי,קלה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,80 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,הצפון,6800,,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני בצומת,מרחב גליל,פברואר,06:00-09:59,יום אחר,יום,שבת,קלה,התנגשות חזית אל צד,דו סיטרי+קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,לא ידוע,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,לא ידוע,לא ידוע,המרכז,0,153,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב השרון,אוקטובר,14:00-16:59,יום אחר,יום,רביעי,קלה,התנגשות חזית אל חזית,דו סיטרי אין קו הפרדה רצוף,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,לילה לא ידוע,בהיר,יבש,חצה רגיל,במעבר חציה בלי רמזור,חיפה,0,123,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב תא,אוקטובר,17:00-19:59,חול המועד,לילה,חמישי,קלה,התנגשות צד בצד,אחר,מיפרדה לא בנויה,עד 50 קמש,אין ליקוי,לא ידוע,אין ליקוי,לילה פעלה תאורה,בהיר,יבש,אחר,לא במעבר חציה לא ליד צומת,הדרום,0,632,,9,9,9
ישראל ללא יהודה ושומרון,עירוני בצומת,מחוז ירושלים,יוני,10:00-13:59,יום אחר,יום,שני,קלה,התנגשות צד בצד,אחר,מיפרדה עם גדר בטיחות,90 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,הצפון,3000,,,9,9,9
ישראל ללא יהודה ושומרון,עירוני לא בצומת,מרחב השרון,מאי,20:00-23:59,יום אחר,לילה,שבת,קלה,פגיעה בהולך רגל,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,5 עד 7,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,חיפה,7400,303,,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב גליל,פברואר,17:00-19:59,יום אחר,יום,שבת,קלה,התנגשות חזית אל צד,אחר,מיפרדה בנויה ללא גדר בטיחות,עד 50 קמש,אין ליקוי,7 עד 10.5,אין ליקוי,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,הדרום,0,189,597,9,9,9
ישראל ללא יהודה ושומרון,לא עירוני לא בצומת,מרחב לכיש,אוגוסט,00:00-05:59,יום אחר,לילה,רביעי,קטלנית,פגיעה בהולך רגל,חד סיטרי,לא ידוע,עד 50 קמש,אין ליקוי,5 עד 7,לא נדרש תמרור,אור יום רגיל,בהיר,יבש,לא ידוע,לא ידוע,תל אביב,0,,,9,9,9
